color,director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,genres,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,movie_imdb_link,num_user_for_reviews,language,country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
Color,James Cameron,723,178,0,855,Joel David Moore,1000,760505847,Action|Adventure|Fantasy|Sci-Fi,CCH Pounder,Avatar ,886204,4834,Wes Studi,0,avatar|future|marine|native|paraplegic,http://www.imdb.com/title/tt0499549/?ref_=fn_tt_tt_1,3054,English,USA,PG-13,237000000,2009,936,7.9,1.78,33000
Color,Gore Verbinski,302,169,563,1000,Orlando Bloom,40000,309404152,Action|Adventure|Fantasy,Johnny Depp,Pirates of the Caribbean: At World's End ,471220,48350,Jack Davenport,0,goddess|marriage ceremony|marriage proposal|pirate|singapore,http://www.imdb.com/title/tt0449088/?ref_=fn_tt_tt_1,1238,English,USA,PG-13,300000000,2007,5000,7.1,2.35,0
Color,Sam Mendes,602,148,0,161,Rory Kinnear,11000,200074175,Action|Adventure|Thriller,Christoph Waltz,Spectre ,275868,11700,Stephanie Sigman,1,bomb|espionage|sequel|spy|terrorist,http://www.imdb.com/title/tt2379713/?ref_=fn_tt_tt_1,994,English,UK,PG-13,245000000,2015,393,6.8,2.35,85000
Color,Christopher Nolan,813,164,22000,23000,Christian Bale,27000,448130642,Action|Thriller,Tom Hardy,The Dark Knight Rises ,1144337,106759,Joseph Gordon-Levitt,0,deception|imprisonment|lawlessness|police officer|terrorist plot,http://www.imdb.com/title/tt1345836/?ref_=fn_tt_tt_1,2701,English,USA,PG-13,250000000,2012,23000,8.5,2.35,164000
Color,Andrew Stanton,462,132,475,530,Samantha Morton,640,73058679,Action|Adventure|Sci-Fi,Daryl Sabara,John Carter ,212204,1873,Polly Walker,1,alien|american civil war|male nipple|mars|princess,http://www.imdb.com/title/tt0401729/?ref_=fn_tt_tt_1,738,English,USA,PG-13,263700000,2012,632,6.6,2.35,24000
Color,Sam Raimi,392,156,0,4000,James Franco,24000,336530303,Action|Adventure|Romance,J.K. Simmons,Spider-Man 3 ,383056,46055,Kirsten Dunst,0,sandman|spider man|symbiote|venom|villain,http://www.imdb.com/title/tt0413300/?ref_=fn_tt_tt_1,1902,English,USA,PG-13,258000000,2007,11000,6.2,2.35,0
Color,Nathan Greno,324,100,15,284,Donna Murphy,799,200807262,Adventure|Animation|Comedy|Family|Fantasy|Musical|Romance,Brad Garrett,Tangled ,294810,2036,M.C. Gainey,1,17th century|based on fairy tale|disney|flower|tower,http://www.imdb.com/title/tt0398286/?ref_=fn_tt_tt_1,387,English,USA,PG,260000000,2010,553,7.8,1.85,29000
 Black and White,Michael Mann,174,165,0,780,Jada Pinkett Smith,10000,58183966,Biography|Drama|Sport,Will Smith,Ali ,79186,14196,Joe Morton,1,african american protagonist|african americans|boxing gym|gym|rumble in the jungle,http://www.imdb.com/title/tt0248667/?ref_=fn_tt_tt_1,386,English,USA,R,107000000,2001,851,6.8,2.35,0
Color,David Yates,375,153,282,10000,Daniel Radcliffe,25000,301956980,Adventure|Family|Fantasy|Mystery,Alan Rickman,Harry Potter and the Half-Blood Prince ,321795,58753,Rupert Grint,3,blood|book|love|potion|professor,http://www.imdb.com/title/tt0417741/?ref_=fn_tt_tt_1,973,English,UK,PG,250000000,2009,11000,7.5,2.35,10000
Color,Robert Zemeckis,240,96,0,10000,Colin Firth,18000,137850096,Animation|Drama|Family|Fantasy,Robin Wright,A Christmas Carol ,72809,48878,Gary Oldman,0,charles dickens|christmas|christmas eve|ghost|scrooge,http://www.imdb.com/title/tt1067106/?ref_=fn_tt_tt_1,249,English,USA,PG,200000000,2009,14000,6.8,2.35,0
,Doug Walker,,,131,,Rob Walker,131,,Documentary,Doug Walker,Star Wars: Episode VII - The Force Awakens             ,8,143,,0,,http://www.imdb.com/title/tt5289954/?ref_=fn_tt_tt_1,,,,,,,12,7.1,,0
Color,David Yates,248,110,282,103,Alexander Skarsgård,11000,124051759,Action|Adventure|Drama|Romance,Christoph Waltz,The Legend of Tarzan ,42372,21175,Casper Crump,2,africa|capture|jungle|male objectification|tarzan,http://www.imdb.com/title/tt0918940/?ref_=fn_tt_tt_1,239,English,USA,PG-13,180000000,2016,10000,6.6,2.35,29000
Color,Andrew Adamson,284,150,80,82,Kiran Shah,1000,291709845,Adventure|Family|Fantasy,Jim Broadbent,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe ",286506,1317,Shane Rangi,5,hide and seek|lion|magic|professor|snow,http://www.imdb.com/title/tt0363771/?ref_=fn_tt_tt_1,1463,English,USA,PG,180000000,2005,190,6.9,2.35,0
Color,Bryan Singer,396,144,0,1000,Michael Fassbender,34000,154985087,Action|Adventure|Sci-Fi,Jennifer Lawrence,X-Men: Apocalypse ,148379,49684,Tye Sheridan,6,mutant|superhero|superhero team|x men|year 1983,http://www.imdb.com/title/tt3385516/?ref_=fn_tt_tt_1,622,English,USA,PG-13,178000000,2016,13000,7.3,2.35,54000
Color,Christopher Nolan,645,152,22000,11000,Heath Ledger,23000,533316061,Action|Crime|Drama|Thriller,Christian Bale,The Dark Knight ,1676169,57802,Morgan Freeman,0,based on comic book|dc comics|psychopath|star died before release|urban setting,http://www.imdb.com/title/tt0468569/?ref_=fn_tt_tt_1,4667,English,USA,PG-13,185000000,2008,13000,9.0,2.35,37000
Color,Pete Docter,408,96,0,262,Delroy Lindo,1000,292979556,Adventure|Animation|Comedy|Family,John Ratzenberger,Up ,665575,2635,Jess Harnell,1,balloon|house|promise|retirement|skeleton,http://www.imdb.com/title/tt1049413/?ref_=fn_tt_tt_1,704,English,USA,PG,175000000,2009,848,8.3,1.85,27000
Color,Pete Docter,250,92,0,773,John Ratzenberger,12000,289907418,Adventure|Animation|Comedy|Family|Fantasy,Steve Buscemi,"Monsters, Inc. ",585659,15013,James Coburn,0,friend|little girl|monster|rival|scream,http://www.imdb.com/title/tt0198781/?ref_=fn_tt_tt_1,593,English,USA,G,115000000,2001,1000,8.1,1.85,0
Color,Jon Favreau,486,126,4000,4000,Jeff Bridges,21000,318298180,Action|Adventure|Sci-Fi,Robert Downey Jr.,Iron Man ,696338,39252,Jon Favreau,3,afghanistan|billionaire|inventor|playboy|u.s. air force,http://www.imdb.com/title/tt0371746/?ref_=fn_tt_tt_1,1055,English,USA,PG-13,140000000,2008,12000,7.9,2.35,10000
 Black and White,Lee Tamahori,264,133,93,746,Colin Salmon,769,160201106,Action|Adventure|Thriller,Toby Stephens,Die Another Day ,169914,2538,Rick Yune,0,catfight|clinic|colonel|diamond|patricide,http://www.imdb.com/title/tt0246460/?ref_=fn_tt_tt_1,1185,English,UK,PG-13,142000000,2002,766,6.1,2.35,0
