color,director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,genres,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,movie_imdb_link,num_user_for_reviews,language,country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
Color,Jean-Jacques Annaud,187,131,218,29,Gabriel Thomson,5000,51396781,Drama|History|War,Bob Hoskins,Enemy at the Gates ,188887,5103,Clemens Schick,1,battle|german|russian|sniper|stalingrad,http://www.imdb.com/title/tt0215750/?ref_=fn_tt_tt_1,662,English,USA,R,68000000,2001,35,7.6,2.35,0
Color,Annabel Jankel,36,104,5,687,Fisher Stevens,5000,20915465,Adventure|Comedy|Family|Fantasy|Sci-Fi,Bob Hoskins,James Mario Bros. ,38203,7723,Fiona Shaw,0,based on video game|dinosaur|king|mario|plumber,http://www.imdb.com/title/tt0108255/?ref_=fn_tt_tt_1,290,English,UK,PG,42000000,1993,922,4.0,1.85,2800
Color,Fred Schepisi,61,109,40,794,Ray Winstone,5000,2326407,Drama,Bob Hoskins,Last Orders ,5016,7166,JJ Feild,5,ashes|butcher|friend|friendship|memory,http://www.imdb.com/title/tt0253200/?ref_=fn_tt_tt_1,99,English,UK,R,12000000,2001,1000,7.0,2.35,305
Color,Annabel Jankel,36,104,5,687,Fisher Stevens,5000,20915465,Adventure|Comedy|Family|Fantasy|Sci-Fi,Bob Hoskins,Maid in Manhattan ,38203,7723,Fiona Shaw,0,based on video game|dinosaur|king|mario|plumber,http://www.imdb.com/title/tt0108255/?ref_=fn_tt_tt_1,290,English,UK,PG,42000000,1993,922,4.0,1.85,10
Color,Wayne Wang,114,105,61,708,Frances Conroy,5000,93815117,Comedy|Drama|Romance,Bob Hoskins,Super Mario Bros. ,68417,7184,Natasha Richardson,2,hotel|maid|new york city|place name in title|the bronx,http://www.imdb.com/title/tt0252076/?ref_=fn_tt_tt_1,242,English,USA,PG-13,55000000,2002,827,5.1,2.35,10
Color,Walter Salles,196,103,179,87,Camryn Manheim,794,25472967,Drama|Horror|Thriller,Dougray Scott,Dark Water ,44966,1467,Ariel Gade,2,apartment|hello kitty|school|teacher|water,http://www.imdb.com/title/tt0382628/?ref_=fn_tt_tt_1,411,English,USA,PG-13,30000000,2005,329,5.6,2.35,0
Color,Julie Anne Robinson,127,91,30,497,Debbie Reynolds,922,26404753,Action|Comedy|Crime|Romance|Thriller,Fisher Stevens,One for the Money ,34203,3301,Patrick Fischler,1,bail bond|bounty hunter|jeans|shot in the butt|title directed by female,http://www.imdb.com/title/tt1598828/?ref_=fn_tt_tt_1,169,English,USA,PG-13,40000000,2012,786,5.3,2.35,19000
Color,Frédéric Auburtin,7,110,18,432,Thomas Kretschmann,922,43453443,Drama|History|Sport,Fisher Stevens,United Passions ,3279,2725,Jemima West,4,20th century|association|fifa|football|world cup,http://www.imdb.com/title/tt2814362/?ref_=fn_tt_tt_1,22,English,France,Not Rated,24000000,2014,919,2.0,2.35,0
Color,David Gordon Green,232,117,234,221,Tye Sheridan,12000,371897,Drama,Nicolas Cage,Joe ,36494,13607,Ronnie Gene Blevins,2,alcoholic|cigarette smoking|father son relationship|teenage boy|woods,http://www.imdb.com/title/tt2382396/?ref_=fn_tt_tt_1,118,English,USA,R,4000000,2013,1000,6.9,2.35,11000
Color,John A. Davis,105,88,8,8000,Meryl Streep,12000,28133159,Adventure|Animation|Comedy|Family|Fantasy,Nicolas Cage,The Ant Bully ,30055,33822,Julia Roberts,1,ant|miniaturization|punishment|shrinking|sudden change in size,http://www.imdb.com/title/tt0429589/?ref_=fn_tt_tt_1,70,English,USA,PG,50000000,2006,11000,5.9,1.85,593
Color,Brett Ratner,121,125,420,627,Don Cheadle,12000,75764085,Comedy|Drama|Fantasy|Romance,Nicolas Cage,The Family Man ,85844,16646,Amber Valletta,1,bowling|christmas|parallel universe|salesman|unfaithfulness,http://www.imdb.com/title/tt0218967/?ref_=fn_tt_tt_1,322,English,USA,PG-13,60000000,2000,3000,6.7,2.35,0
